DOI,Affiliations
10.1016/j.inat.2019.100564,"Department of Neurology, Beijing Hospital, National Center of Gerontology, No. 1, Dahua Road, Dong Dan, Beijing, 100730, China"
10.1039/c9bm01126a,"Institute of Ultrasound Imaging and Department of Ultrasound, Second Affiliated Hospital of Chongqing Medical University, Chongqing Key Laboratory of Ultrasound Molecular Imaging, Chongqing, 400010, China; Department of Ultrasound, Fudan University Shanghai Cancer Center, Shanghai, 200032, China; Department of Breast and Thyroid Surgery, Second Affiliated Hospital of Chongqing Medical University, Chongqing, 400010, China; Shanghai Institute of Ultrasound in Medicine, Shanghai Jiao Tong University Affiliated Sixth People's Hospital, Shanghai, 200233, China"
10.1016/j.ymgmr.2020.100573,"Division of Inborn Errors of Metabolism, Children's Hospital, University of Ulm, Ulm, Germany; Division of Pediatric Neurology, Children's Hospital, University of Ulm, Ulm, Germany"
10.1186/s12974-020-1725-8,"Department of Neurosurgery, First Hospital of Jilin University, No. 1 Xinmin Avenue, Changchun, Jilin, 130021, China; Department of Neurology, First Hospital of Jilin University, Changchun, 130021, China"
10.3390/rs12030370,"Key Laboratory ofWestern China's Environmental Systems (Ministry of Education), College of Earth and Environmental Sciences, Lanzhou University, Lanzhou, 730000, China; Institute for Circular Economy in Western China, Lanzhou University, Lanzhou, 730000, China; Institute of Green Development for the Yellow River Drainage Basin, Lanzhou University, Lanzhou, 730000, China; School of Geography, Nanjing Normal University, Nanjing, 210000, China"
10.1007/s11042-019-7444-4,"School of Basic Education, Jiangsu Food & Pharmaceutical Science College, Huaian, 223000, China"
10.1016/j.omtn.2019.11.002,"Guangdong Medical University, Dongguan, 523808, China; Key Laboratory of Optoelectronic Devices and Systems of Ministry of Education and Guangdong Province, College of Optoelectronic Engineering, Shenzhen University, Shenzhen, 518000, China; Reproductive Medicine Center, Renmin Hospital, Hubei University of Medicine, Shiyan, 442000, China; Biomedical Engineering College, Hubei University of Medicine, Shiyan, 442000, China; College of Health Science and Environmental Engineering, Shenzhen Technology University, Shenzhen, 518118, China"
10.3760/cma.j.issn.0578-1310.2020.0008,"Department of Pediatrics, Third People's Hospital of Shenzhen, Shenzhen, 518020, China; Department of Infectious Disease, Third People's Hospital of Shenzhen, Shenzhen, 518020, China; Department of Respiration, Shenzhen Children's Hospital, Shenzhen, 518026, China; Department of Radiology, Third People's Hospital of Shenzhen, Shenzhen, 518020, China"
10.1007/s00500-019-04371-y,"College of Resource and Environment, Beibu Gulf University, Qinzhou, 535011, China; Guangxi Colleges and Universities Key Laboratory of Complex System Optimization and Big Data Processing, Yulin Normal University, Yulin, 537000, China; Key Laboratory of Environment Evolution and Resources Utilization in Beibu Gulf (Nanning Teachers Education University), Ministry of Education, Nanning, 530001, China; The Key Laboratory for Advanced Technology to Internet of Things, Beibu Gulf University, Qinzhou, 535011, China; National Engineering Research Center of Geographic Information System, China University of Geosciences, Wuhan, 430074, China"
10.1016/j.omtn.2019.10.035,"Department of Hepatic Surgery, Liver Transplantation Center, The Third Affiliated Hospital of Sun Yat-Sen University, Guangzhou, 510630, China"
10.1186/s13045-020-00857-7,"Department of Pediatric Surgery, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, 1277 Jiefang Avenue, Wuhan, Hubei Province, 430022, China; Clinical Center of Human Genomic Research, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, 1277 Jiefang Avenue, Wuhan, Hubei Province, 430022, China; Department of Pathology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, 1277 Jiefang Avenue, Wuhan, Hubei Province, 430022, China"
10.1016/j.intimp.2020.106204,"Department of Cardiology, Shunde Hospital, Southern Medical University (The First People's Hospital of Shunde Foshan), Foshan 528300, Guangdong, China; Department of Emergency Medicine, Nanfang Hospital, Southern Medical University, Guangzhou 510515, Guangdong, China"
10.1016/j.ijrmhm.2019.105121,"IMDEA Materials Institute, Calle Eric Kandel 2, 28906 Getafe, Madrid, Spain; Hyperion Materials & Technologies, Polígono Industrial Roca Calle Verneda S/N, Martorelles 08107, Barcelona, Spain; Łukasiewicz Research Network - Metal Forming Institute, Jana Pawla II 14, 61-139, Poznan, Poland; Universidad Carlos III Madrid, Av, Universidad 30, 28911 Leganés, Madrid, Spain"
10.1016/j.omtn.2019.10.017,"Department of Orthopaedics, Second Hospital of Jilin University, Changchun, 130041, China; Department of Orthopaedics, China-Japan Union Hospital of Jilin University, Changchun, 130033, China"
10.1111/pce.13710,"College of Life Sciences, Northwest A&F University, Yangling, China"
10.1016/j.ijheatmasstransfer.2019.119243,"Institute of Thermal Science and Power Systems, School of Energy Engineering, Zhejiang University, Hangzhou, 310027, Zhejiang, China; State Key Laboratory of Clean Energy Utilization, Zhejiang University, Hangzhou, 310027, Zhejiang, China; Institute of Building Technology, School of Civil Engineering and Architecture, Zhejiang University, Hangzhou, 310058, China"
10.1016/j.apsusc.2019.144399,"School of Mechatronic Engineering, Xi'an Technological University, Xi'an, 710021, China; Department for Management of Science and Technology Development, Ton Duc Thang University, Ho Chi Minh City, Viet Nam; Faculty of Social Sciences and Humanities, Ton Duc Thang University, Ho Chi Minh City, Viet Nam; School of Information Science and Technology, Yunnan Normal University, Kunming, 650500, China"
10.1089/jir.2019.0110,"Department of Anesthesiology, First Affiliated Hospital of Guangxi Medical University, Nanning, China; Department of Neurology, Guilin People's Hospital, Guilin, Guangxi, China"
10.1007/s11120-020-00732-z,"Ocean School, Yantai University, Yantai, 264005, China"
10.1007/s11042-018-5643-z,"Shool of Economics and Management, Beihang University, Beijing, China"
10.1016/j.exer.2020.107960,"Department of Ophthalmology, Jining No.1 People's Hospital, No.6 Jiankang Road, Jining, 272011, Shandong Province, China; Department of Ophthalmology, Yuhuangding Hospital, Yantai, 264000, Shandong Province, China; Department of Ophthalmology, The Second People's Hospital of Jinan, Jinan, 250001, Shandong Province, China; Department of Ophthalmology, Affiliated Hospital of Jining Medical University, Jining, 272067, Shandong Province, China; Department of Ophthalmology, Jining No. 1 People's Hospital, Affiliated Jining No. 1 People's Hospital of Jining Medical University, Jining Medical University, Jining, 272000, Shandong Province, China"
10.1080/15384101.2020.1718851,"College of Public Health, North China University of Science and Technology, Tangshan, China; College of Life Sciences, North China University of Science and Technology, Tangshan, China; Department of Pediatrics, Affiliated Hospital of North China University of Science and Technology, Tangshan, China; Department of Neurology, Tangshan People’s Hospital, Tangshan, China; Department of Neurosurgery, Tangshan Worker’s Hospital, Tangshan, China"
10.1080/15384101.2020.1717033,"Department of Orthopaedic, The Second Affiliated Hospital and Yuying Children’s Hospital of Wenzhou Medical University, Wenzhou, 325000, China; Key Laboratory of Orthopaedics of Zhejiang Province, Wenzhou, 325000, Zhejiang Province, China; Shanghai Key Laboratory for Bone and Joint Diseases, Shanghai Institute of Orthopaedics and Traumatology, Shanghai Ruijin Hospital, Shanghai jiaotong University School of Medicine, Shanghai, 200003, China"
10.1016/j.msec.2019.110485,"“Ion Ionescu de la Brad” University of Agricultural Science and Veterinary Medicine, Exact Sciences Department, 700490, Iasi, Romania; “Gheorghe Asachi” Technical University of Iasi, Department of Chemical Engineering, 700050, Iasi, Romania; “Ion Ionescu de la Brad” University of Agricultural Science and Veterinary Medicine, Preclinics Department, 700489, Iasi, Romania; “Ion Ionescu de la Brad” University of Agricultural Science and Veterinary Medicine, Clinics Department, 700489, Iasi, Romania; Department of Chemistry, Universidad de La Laguna, Avda. Astrofísico Sánchez s/n, La Laguna, 38205, Tenerife (Canary Islands), Spain; Instituto Universitario de Materiales y Nanotecnologías, Universidad de La Laguna, P.O. Box 456, La Laguna, 38200, Tenerife (Canary Islands), Spain"
10.1007/s40618-019-01125-3,"Department of Endocrinology, Shandong Provincial Qianfoshan Hospital, Shandong University, No. 16766, Jingshi Road, Jinan, 250014, Shandong Province, China; Department of Endocrinology, The Affiliated Yantai Yuhuangding Hospital of Qingdao University, Yantai, 264000, China; Department of Endocrinology, Qilu Hospital of Shandong University, No. 107, Wenhua West Road, Jinan, 250012, Shandong Province, China"
10.1007/s11036-019-01395-4,"Department of ECE, Meenakshi College of Engineering, Chennai, K.K Nagar, India; Department of CSE, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Chennai, India"
10.1016/j.micpro.2020.103003,"Infant Jesus College of Engineering, Tuticorin, 628851, Tamilnadu, India; Jeppiaar Institute of Technology, Chennai, 631604, Tamilnadu, India; Shadan Women's College of Engineering & Technology, Telangana, Hyderaba 500004, India"
10.1088/1742-6596/1453/1/012164,"School of Management, Wuhan University of Technology, Wuhan, Hubei, 430070, China"
10.1002/ptr.6556,"Department of Neurology, The Affiliated Hospital of Qingdao University, Qingdao, Shandong, China; Department of Rehabilitation Medicine, The Third People's Hospital of Liaocheng, Liaocheng, Shandong, China; Department of Pharmacy, Jining No.1 People's Hospital, Jining, Shandong, China"
10.1080/17436753.2019.1692174,"School of Automotive Studies, Tongji University, Shanghai, China; Jiangsu Hongyun Automobile Technology Co., Ltd, NanJing, China"
10.1093/gji/ggy409,"HydroGeophysics Group, Department of Geoscience, Aarhus University, C.F. Møllers Alle 4, Aarhus C, 8000, Denmark"
10.1177/0020294019878873,"Sri Krishna College of Engineering and Technology, Coimbatore, India; Department of Electronics and Communication Engineering, K.S.R. College of Engineering, Tiruchengode, India"
10.1016/j.omtn.2019.10.020,"Department of Gastroenterological Surgery, The First Affiliated Hospital of Nanchang University, Nanchang, 330006, China"
10.1016/j.omtn.2019.10.037,"Department of Radiation Oncology, The Affiliated Cancer Hospital of Zhengzhou University, Zhengzhou, 450008, China; Department of Oncology, The First Affiliated Hospital of Zhengzhou University, Zhengzhou, 450052, China"
10.1007/s00604-020-4216-9,"Departamento de Ingeniería Química y Tecnologías del Medio Ambiente, Instituto de Nanociencia de Aragón (INA), Universidad de Zaragoza, Zaragoza, 50009, Spain; Instituto de Ciencia de los Materiales de Aragón (ICMA), CSIC-Universidad de Zaragoza, Zaragoza, 50009, Spain; Mesoscale Chemical Systems, MESA+ Institute for Nanotechnology, University of Twente, P.O. Box 217, Enschede, 7500 AE, Netherlands; MESA+ NanoLab cleanroom, MESA+ Institute for Nanotechnology, University of Twente, P.O. Box 217, Enschede, 7500 AE, Netherlands; Centro Universitario de la Defensa, Carretera Huesca s/n, Zaragoza, 50090, Spain"
10.1016/j.omtn.2019.11.030,"Department of Thoracic Surgery, Affiliated Cancer Hospital of Zhengzhou University, Henan Cancer Hospital, Zhengzhou, 450008, Henan Province, China; Department of Oncology, Affiliated Cancer Hospital of Zhengzhou University, Henan Cancer Hospital, Zhengzhou, 450008, China; Department of Radiation Oncology, Affiliated Cancer Hospital of Zhengzhou University, Henan Cancer Hospital, Zhengzhou, 450008, China"
10.3389/fphys.2020.00103,"Anatomy and Physiopathology Division, Department of Clinical and Experimental Sciences, University of Brescia, Brescia, Italy; Interdipartimental University, Center of Research “Adaption and Regeneration of Tissues and Organs-(ARTO), University of Brescia, Brescia, Italy"
10.1007/s11042-018-5733-y,"Shandong Provincial Institute of Electronic Information Products Inspection, Jinan, 250000, Shandong, China"
10.1038/s41586-020-2068-4,"State Key Laboratory of Biogeology and Environmental Geology, China University of Geosciences, Beijing, China; School of the Earth Sciences and Resources, China University of Geosciences, Beijing, China; Key Laboratory of Vertebrate Evolution and Human Origins of the Chinese Academy of Sciences, Institute of Vertebrate Paleontology and Paleoanthropology, Beijing, China; Center for Excellence in Life and Paleoenvironment, Chinese Academy of Sciences, Beijing, China; Dinosaur Institute, Natural History Museum of Los Angeles County, Los Angeles, CA, United States; W. M. Keck Science Department, Claremont McKenna, Scripps and Pitzer Colleges, Claremont, CA, United States; Royal Saskatchewan Museum, Regina, SK, Canada; Biology Department, University of Regina, Regina, SK, Canada; Beijing Advanced Sciences and Innovation Center, Chinese Academy of Sciences, Beijing, China; Institute of High Energy Physics, Chinese Academy of Sciences, Beijing, China"
10.1007/s40840-019-00850-5,"Department of Applied Mathematics, Nanjing Forestry University, Nanjing, 210037, China; School of Mathematics (Zhuhai), Sun Yat-sen University, Zhuhai, 519082, Guangdong, China; Department of Mathematics, Zhejiang Normal University, Jinhua, 321004, Zhejiang, China"
10.1016/j.omtn.2019.10.036,"Department of Critical Care Medicine, Chun'an First People's Hospital (Zhejiang Provincial People's Hospital, Chun'an Branch), Hangzhou, 311700, China; Department of Critical Care Medicine, Zhejiang Provincial People's Hospital, People's Hospital of Hangzhou Medical College, Hangzhou, 310014, China; Internal Medicine, Zhejiang Chinese Medical University, Hangzhou, 310053, China; Department of Neuroscience Care Unit, The Second Affiliated Hospital, College of Medicine, Zhejiang University, Hangzhou, 310009, China"
10.1016/j.pursup.2020.100610,"University of Granada, Campus de Cartuja s/n, Granada, 18071, Spain"
10.1371/journal.pone.0229035,"Department of Kinesiology, California State University, Sacramento, CA, United States; George W. Woodruff School of Mechanical Engineering, Georgia Institute of Technology, Atlanta, GA, United States; School of Biological Sciences, Georgia Institute of Technology, Atlanta, GA, United States; Department of Integrative Physiology, University of Colorado, Boulder, CO, United States; Department of Veterans Affairs, Eastern Colorado Healthcare System, Aurora, CO, United States"
10.1016/j.jclinane.2019.08.007,"Department of Anesthesiology, Okinawa Prefectural Nanbu Medical Center & Children's Medical Center, Japan; Department of Anesthesiology, Showa University Hospital, Tokyo, Japan"
10.1097/ALN.0000000000003210,"Södertälje Hospital, Södertälje, Karolinska Institutet at Danderyds Hospital (KIDS), Karolinska, Sweden"
10.12659/MSM.920407,"Department of Minimally Invasive Gynecological Centre, Beijing Obstetrics and Gynecology Hospital, Capital Medical University, Beijing, China; Department of Perinatal Medicine, Beijing Obstetrics and Gynecology Hospital, Capital Medical University, Beijing, China; Department of Ultrasound, Beijing Obstetrics and Gynecology Hospital, Capital Medical University, Beijing, China"
10.1007/s40590-018-00231-1,"Department of Mathematics, Faculty of Exact Sciences, University of Tebessa, Tébessa, 12002, Algeria; Department of Mathematics, College of Sciences and Arts, Al-Rass, Qassim University, Buraydah, Saudi Arabia; Laboratory of Fundamental and Applied Mathematics of Oran (LMFAO), University of Oran 1, Ahmed Benbella, Oran, Algeria; Department of Mathematics, Faculty of Sciences, University of Annaba, Annaba, 12002, Algeria"
10.1016/j.prp.2020.152903,"Department of Infectious Diseases, General Hospital of Ningxia Medical University, Ningxia, 750004, China; Department of Infectious Diseases, The First Affiliated Hospital of Xi'an Jiaotong University, Shanxi, 710061, China"
10.1002/jhet.3899,"Laboratory of Pharmacochemistry, Faculty of Biological Chemical Sciences, University Autonomous of Campeche, Campeche, Mexico; Escuela de Ciencias Biologicas, Instituto Politecnico Nacional, Mexico City, Mexico; Medicos y Odontologos s/n, Universidad Veracruzana, Xalapa, Mexico"
10.1016/j.omtn.2019.11.015,"Department of Orthopedics, Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University, Guangzhou, 510120, China; Department of Spinal Surgery, Meizhou People's Hospital, Meizhou, 514031, China; Center for Medical Genetics, Beijing Children's Hospital, Capital Medical University, National Center for Children's Health, Beijing, 100045, China; Medical Department, Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University, Guangzhou, 510120, China; Guangdong Provincial Key Laboratory of Malignant Tumor Epigenetics and Gene Regulation, Sun Yat-Sen Memorial Hospital, Sun Yat-Sen University, Guangzhou, 510120, China; Department of Orthopedics, The First Affiliated Hospital of Sun Yat-Sen University, Guangzhou, 510080, China"
10.1080/15384101.2019.1710912,"Department of Oncology, Hubei No.3 People’s Hospital of Jianghan University, Wuhan, Hubei Province, China"
10.1007/s42823-019-00069-1,"Chemical Engineering Department, Faculty of Engineering, Azarbaijan Shahid Madani University, P.O. BOX: 5375171379, Tabriz, Iran"
10.1042/BSR20191330,"Department of Neuro Surgery, Jining No.1 People’s Hospital of Jining City Shandong Province, Jining City, 272000, Shandong Province, China"
10.1002/jcb.29381,"Department of Gastrointestinal Endoscopy Center, Shandong Provincial Qianfoshan Hospital, The First Hospital Affiliated with Shandong First Medical University, Jinan, Shandong, China; Department of Anesthesiology, Linyi People's Hospital, Linyi, Shandong, China"
10.1007/s11042-018-6008-3,"Department of Computer Science and Engineering, SCAD College of Engineering and Technology, Tirunelveli, India; V V College of Engineering, Tirunelveli, India; Department of Computer Science and Engineering, Rajalakshmi Engineering College, Chennai, India"
10.1088/1742-6596/1432/1/012092,"Universidad de la Costa, Barranquilla, Colombia; Universidad Simón Bolívar, Barranquilla, Atlántico, Colombia; Universidad Del Sucre, Sincelejo, Sucre, Colombia; Universidad Del Atlántico Puerto Colombia, Atlántico, Colombia"
10.1021/acs.orglett.9b04199,"Institute of Chemistry, State University of Campinas, Rua Monteiro Lobato 270, Campinas, São Paulo, 13083-862, Brazil; Laboratory of Organic Synthesis, Bio and Organocatalysis, Chemistry Department, Universidad de Los Andes, Cra 1 No. 18A-12 Q:305, Bogotá, 111711, Colombia"
10.1016/j.bbadis.2019.01.017,"Department of Medicine, School of Clinical Sciences, Department of Physiology, Monash University, Clayton, Victoria, Australia; Hudson Institute of Medical Research, The Ritchie Centre, Clayton, Victoria, Australia; Department of Obstetrics and Gynaecology, The University of Melbourne, Parkville, Victoria, Australia; INRS-Institut Armand-Frappier, Université du Québec and Biomed Research Center, 531 Boulevard des Prairies, Laval, H7V 1B7, QC, Canada; Center for Interdisciplinary Research on Well-Being, Health, Society and Environment, Université du Québec à Montréal, Montréal, H3C 3P8, QC, Canada"
10.1186/s13578-019-0371-2,"Department of General Practice, First Affiliated Hospital of China Medical University, No. 155 Nanjing North Street, Heping District, Shenyang, 110001, China; Department of the Fourth General Surgery, Fourth Affiliated Hospital of China Medical University, No. 4 Chongshan East Road, Huanggu District, Shenyang, 110032, China; Department of the Science and Experiment Center, China Medical University, No. 77 Puhe Road Shenbei New Area, Shenyang, 110122, China"
10.2147/NDT.S271320,"Department of Neurology, Linyi Central Hospital, Linyi, 276400, Shandong, China"
10.2147/OTT.S258684,"Henan Key Laboratory of Neurorestoratology, First Affiliated Hospital of Xinxiang Medical University, Weihui, Henan Province, China; Hematology Laboratory, First Affiliated Hospital of Xinxiang Medical University, Weihui, Henan Province, China; Clinical Laboratory, First Affiliated Hospital of Xinxiang Medical University, Weihui, Henan Province, China; Department of Blood Transfusion, First Affiliated Hospital of Xinxiang Medical University, Weihui, Henan Province, China; Central Laboratory, First Affiliated Hospital of Xinxiang Medical University, Weihui, Henan Province, China"
10.1088/1742-6596/1432/1/012094,"Universidad Peruana de Ciencias Aplicadas, Perú., Lima, Peru; Universidad de la Costa, Barranquilla, Atlántico, Colombia; Universidad Surcolombiana, Neiva, Huila, Colombia; Universidad Del Atlántico, Atlántico, Colombia; Universidad Del Sucre, Sincelejo, Sucre, Colombia"
10.1155/2020/6660489,"College of Computer Science and Information Technology, King Faisal University, Community College of Abqaiq, P.O. Box 4000, Al-Ahsa, 31982, Saudi Arabia; Chemical Engineering Department, King Faisal University, P.O. Box 380, Al-Ahsa, 31982, Saudi Arabia"
10.1080/08853134.2020.1845189,"School of Social Work, Saint Ambrose University, 1950 E 54th St, Davenport, 52807, IA, United States; Department of Marketing, College of Business and Economics, California State University East Bay, 25800 Carlos Bee Blvd, Hayward, 94542, CA, United States"
10.1088/1757-899X/981/2/022068,"Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, AP, India; Department of CSE, Aurora's Science and Technological Institute, Hyderabad, India"
10.2147/IJN.S269880,"Department of Pharmacognosy, Faculty of Pharmacy, Cairo University, Cairo, Egypt; Agro-BioSciences Research Division, Mohammed VI Polytechnic University, Ben-Guerir, 43150, Morocco; Department of Pharmacognosy, Faculty of Pharmacy, October University for Modern Sciences and Arts (MSA), 6 October City, Giza, Egypt; Department of Pharmacognosy, Faculty of Pharmacy, Oct. 6 University, Giza, Egypt; Phytochemistry and Plant Systematic Department, National Research Centre, Dokki, Cairo, Egypt"
10.2147/CMAR.S282625,"Department of Stomatology, Zaozhuang Municipal Hospital, Zaozhuang, 277100, Shandong, China"
10.2147/CMAR.S277113,"Department of Oncology, Jilin Cancer Hospital, Changchun, 130000, Jilin, China; Department of Radiotherapy, Jilin Cancer Hospital, Changchun, 130000, Jilin, China"
10.1002/ptr.6533,"Department of Endocrinology, Jining No.1 People's Hospital, Jining, China; Emergency Department, Jining No.1 People's Hospital, Jining, China; Emergency Department, Jinxiang People's Hospital, Jining, China"
10.1016/j.jddst.2019.101481,"Institute for Nanoscience and Nanotechnology, NCSR “Demokritos”, Aghia Paraskevi Attikis, 153 10, Greece; Radiochemical/ Radiopharmacological Quality Control Laboratory, Institute of Nuclear and Radiological Sciences and Technology, Energy & Safety, N.C.S.R. ‘Demokritos’, Aghia Paraskevi, 15310, Greece; Department of Medical Instruments Technology, Technological Educational Institute, GR 122 10, Athens, Greece; Clinical, Experimental Surgery, & Translational Research, Biomedical Research Foundation Academy of Athens (BRFAA), Athens, 11527, Greece; Inorganic Chemistry Laboratory, Department of Chemistry, National and Kapodistrian University of Athens, Greece"
10.3991/ijet.v15i22.16889,"I. M. Sechenov First Moscow State Medical University (Sechenov University), Moscow, Russian Federation; Azerbaijan State Pedagogical University, Baku, Azerbaijan; University of International Business, Almaty, Kazakhstan"
10.1002/anie.201912605,"Departement Chemie und Angewandte Biowissenschaften, Eidgenössische Technische Hochschule (ETH) Zürich, Zürich, 8093, Switzerland"
10.2147/OTT.S279951,"Department 1 of Gynecological Oncology, Jilin Cancer Hospital, Changchun, 130012, Jilin, China; Department of Gynecology and Oncology, The Second Hospital of Jilin University, Changchun, 130041, Jilin, China; Department of Radiotherapy, Jilin Cancer Hospital, Changchun, 130012, Jilin, China"
10.1016/j.conbuildmat.2019.116987,"School of Civil and Architecture Engineering, Xi'an Technological University, 710021 No. 2 Xuefuzhonglu Rd., Xi'an, Shaanxi, China; College of Civil Engineering, Xi'an University of Architecture and Technology, 710055 No. 13 Yantalu Rd., Xi'an, Shaanxi, China; National Key Laboratory of Green Building in West China, Xi'an University of Architecture and Technology, 710055 No. 13 Yantalu Rd., Xi'an, Shaanxi, China"
10.36396/MS.2020.15.4.004,"Framon Joint Stock Company, 3rd Cherepkovskaya Str. 15a, Moscow, 121552, Russian Federation; Federal State Budget Organization «National Medical Research Center of Cardiology» of the Ministry of Healthcare of the Russian Federation, 3rd Cherepkovskaya Str. 15a, Moscow, 121552, Russian Federation; Shemyakin-Ovchinnikov Institute of Bioorganic Chemistry, Russian Academy of Sciences, 16/10 Miklukho-Maklaya St., Moscow, 117997, Russian Federation"
10.26355/eurrev_202011_23586,"Pediatric Surgery, Jining No. 1 People's Hospital, Jining, China; Spinal Surgery, Heze Municipal Hospital, Heze, China; Department of Pediatric Surgery, Tengzhou Central People's Hospital, Tengzhou, China"
10.1177/1533033820971600,"Department of Pulmonary and Critical Care Medicine, Cangzhou People’s Hospital, Cangzhou, China; Department of Radiation Oncology, Cangzhou People’s Hospital, Cangzhou, China; Tianjin Medical University, Tianjin, China; Shanghai Engineering Research Center of Pharmaceutical Translation, Shanghai, China"
10.1088/1755-1315/428/1/012082,"Institute of Meteorology and Oceanography, University of Defense Technology, Nanjing, Jiangsu, 211101, China"
10.1088/1742-6596/1432/1/012077,"Universidad de la Costa, Barranquilla, Atlántico, Colombia; Universidad Del Atlántico, Atlántico, Colombia; Universidad Del Sucre, Sincelejo, Sucre, Colombia"
10.1080/17461391.2019.1611932,"Faculdade de Educação Física e Dança, Universidade Federal de Goiás, Goiania, Brazil; Faculdade de Educação Física, Universidade Federal do Pará, Castanhal, Pará, Brazil; Centro de Ciências Biológicas e da Saúde, Centro Universitário do Estado do Pará, Belém, Pará, Brazil; Centre for Health, Exercise and Sport Science, Southampton Solent University, Southampton, United Kingdom; Sport and Exercise Sciences Research Unit, University of Palermo, Palermo, Italy"
10.1088/1757-899X/981/2/022070,"Dept. of Computer Science and Engineereing, S R Engineering College, Warangal, Telangana, India; Dept. of Computer Science and Engineereing, SR University, Warangal, Telanagana, India; Dept. of Computer Science and Engineereing, Sumathi Reddy Institute of Technology for Women, Warangal, Telanagana, India"
10.1016/j.gene.2019.144057,"Department of Medical Oncology, Zhejiang Provincial People's Hospital (People's Hospital of Hangzhou Medical College), Hangzhou, 310014, Zhejiang Province, China"
10.4081/mrm.2020.654,"Department of Medical Sciences, University of Turin; Department of Clinical and Biological Sciences, University of Turin; S.C. Pneumologia U, Respiratory Clinic Città della Salute e della Scienza, Turin, Italy"
10.1088/1742-6596/1432/1/012032,"Universidad de la Costa, Barranquilla, Colombia; Universidad Del Atlántico, Puerto, Atlántico, Colombia; Universidad sur Colombiana, Neiva, Huila, Colombia; Universidad Del Sucre, Sincelejo, Sucre, Colombia; Universidad Del Atlántico, Atlántico, Colombia"
10.1042/BSR20191961,"Department of Urology, First Affiliated Hospital of Xinxiang Medical College, Weihui City, 453100, Henan Province, China; Department of Urology, Gansu Provincial People’s Hospital, Lanzhou City, 730000, Gansu Province, China"
10.1177/1748006X18799014,"School of Mechanical and Electrical Engineering, University of Electronic Science and Technology of China, Chengdu, China"
10.1007/s40292-019-00313-9,"Preventive Cardiology and Rehabilitation Unit, DSB 29 “S. Gennaro dei Poveri Hospital”, Via S.Gennaro dei Poveri 25, Napoli, 80136, Italy"
10.2147/CMAR.S270646,"Department of Thoracic Surgery, The People’s Hospital of Liaoning Province, Liaoning, 110015, China; Department of Thoracic Surgery, The Tenth People’s Hospital of Shenyang, Liaoning, 110044, China"
10.2147/OTT.S276559,"Frist Department of Gynecologic Oncology, Jilin Cancer Hospital, Changchun, 130012, Jilin, China; Second Department of Gynecologic Oncology, Jilin Cancer Hospital, Changchun, 130012, Jilin, China; Department of Rheumatology and Immunology, China-Japan Union Hospital of Jilin University, Changchun, 130033, Jilin, China; Department of Gynecological Oncology Radiotherapy, Jilin Cancer Hospital, Changchun, 130012, Jilin, China"
10.1007/s12185-019-02772-1,"Department of Hematopoietic Stem Cell Transplantation, National Cancer Center Hospital, 5-1-1 Tsukiji, Chuo-ku, Tokyo, 104-0045, Japan; Department of Hematology and Oncology, Okinawa Chubu Hospital, Uruma, Japan; Department of Hematology, Japanese Red Cross Kyoto Daiichi Hospital, Kyoto, Japan; Department of Hematology and Cell Therapy, Aichi Cancer Center Hospital, Nagoya, Japan; Department of Hematology and Oncology, Niigata Cancer Center Hospital, Niigata, Japan; Department of Promotion for Blood and Marrow Transplantation, Aichi Medical University School of Medicine, Nagakute, Japan; Division of Epidemiology and Prevention, Aichi Cancer Center Research Institute, Nagoya, Japan; Department of Oncology and Hematology, Shimane University Hospital, Izumo, Japan; Hematology Division, Tokyo Metropolitan Cancer and Infectious Disease Center, Komagome Hospital, Tokyo, Japan; Department of HSCT Data Management and Biostatistics, Nagoya University School of Medicine, Nagoya, Japan"
10.1088/1742-6596/1432/1/012074,"Universidad Peruana de Ciencias Aplicadas, Perú., Lima, Peru; Universidad Del Atlántico, Atlántico, Colombia; Universidad de Sucre, Sincelejo, Sucre, Colombia; Universidad Simón Bolívar, Barranquilla, Atlántico, Colombia; Universidad de la Costa, Barranquilla, Atlántico, Colombia"
10.3233/JIFS-179605,"Yan'an Key Laboratory of Microbial Drug Innovation and Transformation, College of Medicine, Yan'an University, Shaanxi, China; Central Laboratory, Third Affiliated Hospital of Zunyi Medical University, The First People's Hospital of Zunyi, Guizhou Province, Zunyi, China"
10.2147/CMAR.S269258,"Laboratory Diagnosis Center, Zhongshan People’s Hospital, Zhongshan, 528403, Guangdong, China"
10.1088/1742-6596/1432/1/012093,"Universidad de la Costa, Barranquilla, Atlántico, Colombia; Universidad Del Atlántico, Atlántico, Colombia; Universidad Del Sucre, Sincelejo, Sucre, Colombia"
10.1088/1742-6596/1432/1/012076,"Universidad Peruana de Ciencias Aplicadas, Perú., Lima, Peru; Universidad de la Costa, Barranquilla, Atlántico, Colombia; Universidad Del Atlántico, Atlántico, Colombia; Universidad Del Sucre, Sincelejo, Sucre, Colombia"
